"","algo","google","fb","iscoop","page","coop","membre","mutuel","ratio1"
"1",0,1,1,0,4,0,0,0,0
"2",1,1,1,0,71,0,0,0,0
"3",1,0,0,0,19,0,0,0,0
"4",1,1,0,0,4,0,0,0,0
"5",1,1,0,0,8,0,0,6,0
"6",0,1,1,0,7,0,0,0,0
"7",0,1,0,0,288,0,0,0,0
"8",1,0,0,0,39,0,0,0,0
"9",0,0,0,0,1,0,0,0,0
"10",0,1,0,0,56,0,0,1,0
"11",1,1,1,0,52,0,0,0,0
"12",0,0,0,0,1,0,0,0,0
"13",0,0,0,0,20,0,0,0,0
"14",1,1,0,0,6,0,0,0,0
"15",1,1,0,0,50,3,0,2,0.06
"16",1,1,0,0,4,0,0,0,0
"17",1,0,0,0,9,0,0,0,0
"18",1,1,0,0,1,0,0,0,0
"19",1,0,0,0,48,0,0,0,0
"20",0,1,0,0,3770,4,4,46,0.00106100795755968
"21",0,0,1,0,14,0,0,0,0
"22",1,1,0,0,19,0,0,0,0
"23",1,0,1,1,44,10,1,0,0.227272727272727
"24",1,1,0,1,5,5,1,0,1
"25",0,0,1,0,5,0,0,0,0
"26",1,0,0,1,1,1,1,0,1
"27",1,1,0,1,3,2,0,0,0.666666666666667
"28",1,1,0,1,28,6,2,0,0.214285714285714
"29",0,0,1,1,21,7,2,0,0.333333333333333
"30",1,1,0,1,10,9,2,0,0.9
"31",1,1,1,1,172,24,39,0,0.13953488372093
"32",1,1,0,0,71,0,0,0,0
"33",1,0,0,1,12,12,3,0,1
"34",1,0,0,0,23,0,22,0,0
"35",1,0,0,1,149,54,60,0,0.36241610738255
"36",1,1,0,1,1,0,0,0,0
"37",1,1,0,1,164,148,133,0,0.902439024390244
"38",1,1,0,1,58,58,9,0,1
"39",1,1,1,1,494,458,28,0,0.927125506072874
"40",1,0,0,0,1,0,0,0,0
"41",1,1,1,1,6,5,4,0,0.833333333333333
"42",1,0,0,1,1,1,0,0,1
"43",1,1,0,1,50,8,2,0,0.16
"44",1,0,0,0,26,0,0,0,0
"45",1,0,1,1,378,5,5,0,0.0132275132275132
"46",0,0,0,1,1,1,1,0,1
"47",1,1,1,1,5,5,0,0,1
"48",1,1,1,0,72,0,0,0,0
"49",1,1,1,0,956,4,655,0,0.00418410041841004
"50",1,1,1,0,54,1,31,0,0.0185185185185185
"51",1,0,0,0,1090,20,284,0,0.018348623853211
"52",1,1,1,0,507,0,8,0,0
"53",1,1,1,0,39,1,10,0,0.0256410256410256
"54",1,1,1,0,99,10,9,0,0.101010101010101
"55",1,1,1,0,1,0,0,0,0
"56",1,1,1,0,42,1,1,0,0.0238095238095238
"57",1,0,1,0,166,0,59,0,0
"58",1,0,0,0,1,0,1,0,0
"59",1,0,1,0,20,0,2,0,0
"60",1,1,1,0,155,0,5,0,0
"61",0,0,1,0,10,0,0,0,0
"62",1,0,0,0,10,0,1,0,0
"63",1,0,0,0,7,5,0,0,0.714285714285714
"64",1,1,1,0,391,10,56,0,0.0255754475703325
"65",1,1,0,0,80,0,6,0,0
"66",1,0,1,0,710,0,210,0,0
"67",0,1,0,0,266,4,33,0,0.0150375939849624
"68",1,0,0,0,43,0,0,0,0
"69",1,0,0,1,78,40,0,2,0.512820512820513
"70",1,1,1,1,247,198,0,4,0.801619433198381
"71",1,0,0,1,2,1,0,0,0.5
"72",1,0,1,1,65,26,0,0,0.4
"73",0,1,1,1,84,62,0,0,0.738095238095238
"74",1,1,0,1,9,9,0,0,1
"75",1,0,0,1,177,69,139,0,0.389830508474576
"76",1,0,0,0,93,1,0,0,0.010752688172043
"77",1,0,1,1,51,7,7,7,0.137254901960784
"78",1,0,1,0,3390,8,6,0,0.0023598820058997
"79",1,0,0,0,89,0,0,0,0
"80",1,1,1,0,4,0,0,0,0
"81",0,0,0,0,12,2,0,0,0.166666666666667
"82",0,1,0,0,82,0,0,0,0
"83",1,1,1,1,224,224,197,0,1
"84",1,1,1,1,102,61,42,0,0.598039215686274
"85",0,0,0,1,19,19,1,0,1
"86",1,0,1,1,8,4,0,0,0.5
"87",0,1,0,0,1,0,0,0,0
"88",1,0,1,1,47,47,21,0,1
"89",1,0,0,0,31,0,0,0,0
"90",0,0,0,0,20,3,0,0,0.15
"91",1,1,1,0,261,0,4,0,0
"92",1,0,1,0,282,0,35,0,0
"93",0,0,1,0,12,0,4,0,0
"94",1,0,1,0,2390,0,0,0,0
"95",1,0,1,0,6,0,0,0,0
"96",0,0,1,0,513,0,5,0,0
"97",1,0,1,0,209,0,0,0,0
"98",1,0,1,0,116,0,20,2,0
"99",1,0,0,0,191,0,2,0,0
"100",1,0,0,0,118,0,6,0,0
"101",1,1,1,0,6680,78,222,4,0.0116766467065868
"102",1,0,0,0,31,0,0,0,0
"103",1,0,1,0,6,0,0,0,0
"104",1,0,0,0,158,0,17,0,0
"105",1,0,1,0,4,0,0,0,0
"106",1,0,0,0,128,1,3,0,0.0078125
"107",0,0,0,0,62,0,0,0,0
"108",1,0,0,1,1,1,0,0,1
"109",1,1,0,1,43,43,10,0,1
"110",0,0,0,0,26,0,0,0,0
"111",1,0,1,1,225,148,112,6,0.657777777777778
"112",1,1,0,1,16,8,5,0,0.5
"113",0,0,0,1,22,22,6,0,1
"114",1,1,1,1,61,32,9,0,0.524590163934426
"115",1,1,0,1,1,1,1,0,1
"116",1,0,1,1,5,2,2,0,0.4
"117",1,1,1,1,3,2,0,0,0.666666666666667
"118",1,1,0,0,39,0,4,0,0
"119",0,0,1,1,8,8,0,0,1
